NM_MUNICIPIO,NR_ZONA,NR_SECAO,DS_CARGO,NM_VOTAVEL,QT_VOTOS
MAGE,148,206,DEPUTADO ESTADUAL,RICARDO DA KAROL,29
MAGE,148,249,DEPUTADO ESTADUAL,RICARDO DA KAROL,14
MAGE,110,539,DEPUTADO ESTADUAL,RICARDO DA KAROL,6
MAGE,148,67,DEPUTADO ESTADUAL,RICARDO DA KAROL,13
MAGE,148,209,DEPUTADO ESTADUAL,RICARDO DA KAROL,27
MAGE,148,188,DEPUTADO ESTADUAL,RICARDO DA KAROL,26
MAGE,110,9,DEPUTADO ESTADUAL,RICARDO DA KAROL,25
MAGE,148,32,DEPUTADO ESTADUAL,RICARDO DA KAROL,29
MAGE,110,34,DEPUTADO ESTADUAL,RICARDO DA KAROL,16
MAGE,148,185,DEPUTADO ESTADUAL,RICARDO DA KAROL,27
MAGE,110,456,DEPUTADO ESTADUAL,RICARDO DA KAROL,23
MAGE,110,428,DEPUTADO ESTADUAL,RICARDO DA KAROL,30
MAGE,110,512,DEPUTADO ESTADUAL,RICARDO DA KAROL,12
MAGE,148,186,DEPUTADO ESTADUAL,RICARDO DA KAROL,25
MAGE,148,54,DEPUTADO ESTADUAL,RICARDO DA KAROL,4
MAGE,148,251,DEPUTADO ESTADUAL,RICARDO DA KAROL,22
MAGE,148,16,DEPUTADO ESTADUAL,RICARDO DA KAROL,31
MAGE,110,366,DEPUTADO ESTADUAL,RICARDO DA KAROL,49
MAGE,110,491,DEPUTADO ESTADUAL,RICARDO DA KAROL,14
MAGE,148,73,DEPUTADO ESTADUAL,RICARDO DA KAROL,11
MAGE,148,90,DEPUTADO ESTADUAL,RICARDO DA KAROL,22
MAGE,110,330,DEPUTADO ESTADUAL,RICARDO DA KAROL,11
MAGE,110,447,DEPUTADO ESTADUAL,RICARDO DA KAROL,15
MAGE,110,535,DEPUTADO ESTADUAL,RICARDO DA KAROL,10
MAGE,148,167,DEPUTADO ESTADUAL,RICARDO DA KAROL,26
MAGE,110,463,DEPUTADO ESTADUAL,RICARDO DA KAROL,13
MAGE,110,421,DEPUTADO ESTADUAL,RICARDO DA KAROL,16
MAGE,110,29,DEPUTADO ESTADUAL,RICARDO DA KAROL,8
MAGE,110,492,DEPUTADO ESTADUAL,RICARDO DA KAROL,11
MAGE,148,267,DEPUTADO ESTADUAL,RICARDO DA KAROL,19
MAGE,148,194,DEPUTADO ESTADUAL,RICARDO DA KAROL,15
MAGE,110,472,DEPUTADO ESTADUAL,RICARDO DA KAROL,6
MAGE,148,248,DEPUTADO ESTADUAL,RICARDO DA KAROL,18
MAGE,110,488,DEPUTADO ESTADUAL,RICARDO DA KAROL,15
MAGE,110,509,DEPUTADO ESTADUAL,RICARDO DA KAROL,10
