NM_MUNICIPIO,NR_ZONA,NR_SECAO,DS_CARGO,NM_VOTAVEL,QT_VOTOS
MAGE,110,121,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,288,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,245,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,148,171,DEPUTADO FEDERAL,MARCOS TAVARES,7
MAGE,148,276,DEPUTADO FEDERAL,MARCOS TAVARES,9
MAGE,148,216,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,15,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,148,27,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,119,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,467,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,132,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,110,11,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,24,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,42,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,305,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,392,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,279,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,242,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,334,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,148,38,DEPUTADO FEDERAL,MARCOS TAVARES,7
MAGE,148,2,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,316,DEPUTADO FEDERAL,MARCOS TAVARES,7
MAGE,148,133,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,110,486,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,148,141,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,14,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,556,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,395,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,442,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,530,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,240,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,129,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,484,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,118,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,110,424,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,8,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,148,47,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,148,110,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,26,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,148,148,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,19,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,398,DEPUTADO FEDERAL,MARCOS TAVARES,3
